case_id,query,reference,expected,strategy,method,answer,latency_s,doc_context,graph_context,em,f1,rouge_l,semantic_similarity,key_precision,key_recall
Q01,掘进工作面瓦斯浓度持续上升并接近超限，调度室应立即组织哪些处置步骤？,立即停工停电，撤出人员，加强通风复测，并上报调度。,"['瓦斯超限', '停止作业', '切断电源', '撤离人员', '加强通风', '上报调度', '复测']",pure_llm,纯LLM,"风险判断：存在瓦斯超限引发爆炸或窒息的重大安全风险。  
依据：瓦斯浓度持续上升接近超限值，违反煤矿安全规程中关于瓦斯浓度控制的规定。  
处置动作：立即停止掘进作业，切断电源，撤出人员，加强通风，实时监测瓦斯变化，查明原因并采取针对性措施。  
责任分工：调度室负责指挥协调，通风部门调整风量，安监人员监督撤人，技术部门分析原因，矿领导决策应急处置方案。",1.949,,,0.8571,0.7059,0.2062,0.464,0.6,0.8571
Q01,掘进工作面瓦斯浓度持续上升并接近超限，调度室应立即组织哪些处置步骤？,立即停工停电，撤出人员，加强通风复测，并上报调度。,"['瓦斯超限', '停止作业', '切断电源', '撤离人员', '加强通风', '上报调度', '复测']",vector_rag,纯向量RAG,"风险判断：掘进工作面瓦斯浓度持续上升接近超限，存在瓦斯积聚和爆炸风险。  
依据：根据规程第一百九十二条，甲烷浓度达1.0%时必须停止作业、撤人并处理。  
处置动作：立即停止掘进作业，切断电源，撤出人员，加强通风并启动瓦斯抽采或引排措施。  
责任分工：调度室负责指挥撤人和停送电，通风部门调整风量并监测浓度，掘进队配合应急处置。",1.6,"[1] 来源：煤矿安全规程2025.pdf；片段：第一百零八条-108；得分：0.8745
第一百零八条 建井期间有下列情况之一的,必须建立瓦斯 抽采系统: (一)突出矿井在揭露突出煤层前. (二)任一掘进工作面瓦斯涌出量大于３m ３/min,用通风方法 解决瓦斯问题不合理的.

[2] 来源：煤矿安全规程2025.pdf；片段：第一百九十二条-192；得分：0.8704
第一百九十二条 采区回风巷、采掘工作面回风巷风流中甲 烷浓度达到１．０％或者二氧化碳浓度达到１．５％时,必须停止工 作,撤出人员,采取措施,进行处理.

[3] 来源：煤矿安全规程2025.pdf；片段：第一百九十三条-193；得分：0.8558
第一百九十三条 采掘工作面及其他作业地点风流中甲烷浓 度达到１．０％时,必须停止用电作业;爆破地点附近２０m 以内风流 中甲烷浓度达到１．０％时,严禁爆破. 采掘工作面及其他作业地点风流中、电动机或者其开关安设 地点附近２０m 以内风流中的甲烷浓度达到１．５％时,必须停止工 作,切断电源,撤出人员,进行处理. 采掘工作面及其他巷道内,体积大于０．５m ３ 的空间内积聚的 甲烷浓度达到２．０％时,附近２０m 内必须停止工作,撤出人员,切 断电源,进行处理. 第一 百 九 十 四 条 采 掘 工 作 面 风 流 中 二 氧 化 碳 浓 度 达 到 ５ — — ７ １．５％时,必 须 停 止 工 作,撤 出 人 员,查 明 原 因,制 定 措 施,进 行 处理.

[4] 来源：煤矿安全规程2025.pdf；片段：第一百九十九条-198；得分：0.8529
第一百九十九条 有瓦斯或者二氧化碳喷出的煤(岩)层,采 掘作业前必须采取下列措施: (一)施工前探钻孔或者瓦斯治理钻孔. (二)加大喷出危险区域的风量. (三)将喷出的瓦斯或者二氧化碳直接引入回风巷或者抽采瓦 斯管路.",,1.0,0.8235,0.1978,0.4692,0.7,1.0
Q01,掘进工作面瓦斯浓度持续上升并接近超限，调度室应立即组织哪些处置步骤？,立即停工停电，撤出人员，加强通风复测，并上报调度。,"['瓦斯超限', '停止作业', '切断电源', '撤离人员', '加强通风', '上报调度', '复测']",hybrid_graph,混合图检索策略,"风险判断：掘进面瓦斯浓度持续上升接近超限，存在瓦斯积聚和爆炸风险。  
依据：规程第一百九十二条、第一百九十三条明确甲烷浓度达1.0%须停工撤人，1.5%须断电处理。  
处置动作：立即停止作业、切断电源、撤出人员，加强通风并启动瓦斯抽采系统引排瓦斯。  
责任分工：调度室负责指挥撤人、停送电及启动应急措施，通风部门负责调整风量与瓦斯抽采，现场负责人执行撤人断电。",2.022,"[1] 来源：煤矿安全规程2025.pdf；片段：第一百零八条-108；得分：0.8745
第一百零八条 建井期间有下列情况之一的,必须建立瓦斯 抽采系统: (一)突出矿井在揭露突出煤层前. (二)任一掘进工作面瓦斯涌出量大于３m ３/min,用通风方法 解决瓦斯问题不合理的.

[2] 来源：煤矿安全规程2025.pdf；片段：第一百九十二条-192；得分：0.8704
第一百九十二条 采区回风巷、采掘工作面回风巷风流中甲 烷浓度达到１．０％或者二氧化碳浓度达到１．５％时,必须停止工 作,撤出人员,采取措施,进行处理.

[3] 来源：煤矿安全规程2025.pdf；片段：第一百九十三条-193；得分：0.8558
第一百九十三条 采掘工作面及其他作业地点风流中甲烷浓 度达到１．０％时,必须停止用电作业;爆破地点附近２０m 以内风流 中甲烷浓度达到１．０％时,严禁爆破. 采掘工作面及其他作业地点风流中、电动机或者其开关安设 地点附近２０m 以内风流中的甲烷浓度达到１．５％时,必须停止工 作,切断电源,撤出人员,进行处理. 采掘工作面及其他巷道内,体积大于０．５m ３ 的空间内积聚的 甲烷浓度达到２．０％时,附近２０m 内必须停止工作,撤出人员,切 断电源,进行处理. 第一 百 九 十 四 条 采 掘 工 作 面 风 流 中 二 氧 化 碳 浓 度 达 到 ５ — — ７ １．５％时,必 须 停 止 工 作,撤 出 人 员,查 明 原 因,制 定 措 施,进 行 处理.

[4] 来源：煤矿安全规程2025.pdf；片段：第一百九十九条-198；得分：0.8529
第一百九十九条 有瓦斯或者二氧化碳喷出的煤(岩)层,采 掘作业前必须采取下列措施: (一)施工前探钻孔或者瓦斯治理钻孔. (二)加大喷出危险区域的风量. (三)将喷出的瓦斯或者二氧化碳直接引入回风巷或者抽采瓦 斯管路.","[1] 抽采瓦斯泵房 -> REQUIRES -> 监测预警系统（第二百零三条；证据：泵房必须有直通矿调度室的电话和检测管道瓦斯浓度、流量、压力等参数的仪表或者自动监测系统）
[2] 爆破地点附近20m以内风流中甲烷浓度达到或超过1.0% -> REQUIRES -> 使用不燃性材料支护（第五十三条；条件：中央企业；证据：如果开采煤层厚度变薄,可以适当增加采煤工作面数量.薄煤层或者长壁充填开采需增加采掘工作面个数时,中央企业应当向国家矿山安全监察局报告）
[3] 爆破地点附近20m以内风流中甲烷浓度达到或超过1.0% -> REQUIRES -> 严禁采用可燃性材料搭设临时操作间、休息间（第五十三条；条件：其他企业；证据：其他企业应当向省级煤矿安全监管部门和驻地矿山安全监察机构报告）
[4] 将瓦斯引排到地面 -> IF -> 稀释后风流中瓦斯浓度不超限（第二百零四条；证据：抽出的瓦斯可以引排到地面、总回风巷或者采(盘)区回风巷,但必须保证稀释后风流中的瓦斯浓度不超限）
[5] 将瓦斯引排到总回风巷或采区回风巷 -> IF -> 稀释后风流中瓦斯浓度不超限（第二百零四条；证据：抽出的瓦斯可以引排到地面、总回风巷或者采(盘)区回风巷,但必须保证稀释后风流中的瓦斯浓度不超限）",0.8571,0.8,0.1709,0.5966,0.75,0.8571
Q02,井下运输巷道出现明火和浓烟，如何组织初期救援并防止事故扩大？,停止作业并切断电源，撤离人员，设警戒，上报调度，组织救援并持续监测烟气。,"['火灾', '停止作业', '切断电源', '撤离人员', '设置警戒', '上报调度', '组织救援', '持续监测']",pure_llm,纯LLM,"风险判断：井下运输巷道出现明火和浓烟，存在火灾蔓延、有毒有害气体扩散及人员中毒窒息风险。  
依据：火灾产生高温、浓烟和有毒气体，可能引发瓦斯爆炸或风流紊乱，威胁井下人员安全。  
处置动作：立即启动应急预案，切断电源，停止运输设备，组织人员沿避灾路线逆风撤离，同时启动局部通风排烟。  
责任分工：现场跟班干部指挥撤离，瓦检员监测气体，救护队待命，调度室协调救援并上报，确保信息畅通、响应迅速。",1.886,,,0.75,0.6,0.1511,0.5508,0.5,0.75
Q02,井下运输巷道出现明火和浓烟，如何组织初期救援并防止事故扩大？,停止作业并切断电源，撤离人员，设警戒，上报调度，组织救援并持续监测烟气。,"['火灾', '停止作业', '切断电源', '撤离人员', '设置警戒', '上报调度', '组织救援', '持续监测']",vector_rag,纯向量RAG,"风险判断：井下运输巷道明火和浓烟可能引发火灾或瓦斯爆炸，威胁人员安全。  
依据：根据规程第二百六十七条，发现自然发火征兆必须立即停止作业并采取控制措施。  
处置动作：立即切断电源，启动应急预案，组织人员沿避灾路线撤离，同时通知矿山救护队。  
责任分工：现场负责人组织撤离，通风部门调整风流，救护队负责火情侦察与初期处置。",1.392,"[1] 来源：煤矿安全规程2025.pdf；片段：第二百八十四条-282；得分：0.8725
第二百八十四条 启封已熄灭的火区前,必须制定安全措施. 启封火区时,应当逐段恢复通风,同时测定回风流中的一氧化 碳、甲烷浓度和风流温度.发现复燃征兆时,必须立即停止向火区 送风,并重新封闭火区. 启封火区和恢复火区初期通风等工作,必须由矿山救护队负 责进行,火区回风风流所经过巷道中的人员必须全部撤出. 在启封火区工作完毕后的３天内,每班必须由矿山救护队检 查通风工作,并测定水温、空气温度和空气成分.只有在确认火区 完全熄灭、通风等情况良好后,方可进行生产工作.

[2] 来源：煤矿安全规程2025.pdf；片段：第二百六十七条-265；得分：0.8706
第二百六十七条 开采容易自燃和自燃煤层时,必须制定防 治采空区(特别是工作面始采线、终采线、进回风巷煤柱线和三角 点)、巷道高冒区、煤柱破坏区自然发火的技术措施. 当井下发现自然发火征兆时,必须停止作业,立即采取有效措 施处理.在发火征兆不能得到有效控制时,必须撤出人员,封闭危 ３ — ０ — １ 险区域.进行封闭施工作业时,无关人员和其他区域所有人员必 须全部撤出.

[3] 来源：煤矿安全规程2025.pdf；片段：第二百三十九条-237；得分：0.8112
第二百三十九条 井巷揭穿突出煤层和在突出煤层中进行采 掘作业时,必须采取避难硐室、反向风门、压风自救装置、隔绝式自 救器、远距离爆破等安全防护措施.

[4] 来源：煤矿安全规程2025.pdf；片段：第二百五十八条-256；得分：0.8073
第二百五十八条 进风井口应当装设防火铁门,防火铁门必 须严密并易于关闭,打开时不妨碍提升、运输和人员通行,并定期 维修;如果不设防火铁门,必须有防止烟火进入矿井的安全措施. 罐笼提升立井井口还应当采取以下措施: (一)井口操车系统基础下部的负层空间应当与井筒隔离,并 设置消防设施. (二)操车系统液压管路应当采用金属管或者阻燃高压非金属 管,传动介质使用难燃液,液压站不得安装在封闭空间内. (三)井筒及负层空间的动力电缆、信号电缆和控制电缆应当 采用煤矿用阻燃电缆,并与操车系统液压管路分开布置. (四)操车系统机坑及井口负层空间内应当及时清理漏油,每 天检查清理情况,不得留存杂物和易燃物.",,0.625,0.625,0.1895,0.6769,0.625,0.625
Q02,井下运输巷道出现明火和浓烟，如何组织初期救援并防止事故扩大？,停止作业并切断电源，撤离人员，设警戒，上报调度，组织救援并持续监测烟气。,"['火灾', '停止作业', '切断电源', '撤离人员', '设置警戒', '上报调度', '组织救援', '持续监测']",hybrid_graph,混合图检索策略,"风险判断：井下运输巷道明火和浓烟可能引发火灾扩大、烟雾蔓延及巷道垮塌，威胁人员安全。  
依据：规程第二百八十四条、第二百六十七条及图谱关系显示，火灾需立即控制烟雾、防止风流受阻和巷道垮塌。  
处置动作：立即停止作业，撤出人员，由矿山救护队负责封闭火区、恢复通风并监测气体，防止复燃。  
责任分工：矿调度室通知救援力量，救护队执行封闭与通风，现场人员撤离，无关人员禁入危险区域。",1.904,"[1] 来源：煤矿安全规程2025.pdf；片段：第二百八十四条-282；得分：0.8725
第二百八十四条 启封已熄灭的火区前,必须制定安全措施. 启封火区时,应当逐段恢复通风,同时测定回风流中的一氧化 碳、甲烷浓度和风流温度.发现复燃征兆时,必须立即停止向火区 送风,并重新封闭火区. 启封火区和恢复火区初期通风等工作,必须由矿山救护队负 责进行,火区回风风流所经过巷道中的人员必须全部撤出. 在启封火区工作完毕后的３天内,每班必须由矿山救护队检 查通风工作,并测定水温、空气温度和空气成分.只有在确认火区 完全熄灭、通风等情况良好后,方可进行生产工作.

[2] 来源：煤矿安全规程2025.pdf；片段：第二百六十七条-265；得分：0.8706
第二百六十七条 开采容易自燃和自燃煤层时,必须制定防 治采空区(特别是工作面始采线、终采线、进回风巷煤柱线和三角 点)、巷道高冒区、煤柱破坏区自然发火的技术措施. 当井下发现自然发火征兆时,必须停止作业,立即采取有效措 施处理.在发火征兆不能得到有效控制时,必须撤出人员,封闭危 ３ — ０ — １ 险区域.进行封闭施工作业时,无关人员和其他区域所有人员必 须全部撤出.

[3] 来源：煤矿安全规程2025.pdf；片段：第二百三十九条-237；得分：0.8112
第二百三十九条 井巷揭穿突出煤层和在突出煤层中进行采 掘作业时,必须采取避难硐室、反向风门、压风自救装置、隔绝式自 救器、远距离爆破等安全防护措施.

[4] 来源：煤矿安全规程2025.pdf；片段：第二百五十八条-256；得分：0.8073
第二百五十八条 进风井口应当装设防火铁门,防火铁门必 须严密并易于关闭,打开时不妨碍提升、运输和人员通行,并定期 维修;如果不设防火铁门,必须有防止烟火进入矿井的安全措施. 罐笼提升立井井口还应当采取以下措施: (一)井口操车系统基础下部的负层空间应当与井筒隔离,并 设置消防设施. (二)操车系统液压管路应当采用金属管或者阻燃高压非金属 管,传动介质使用难燃液,液压站不得安装在封闭空间内. (三)井筒及负层空间的动力电缆、信号电缆和控制电缆应当 采用煤矿用阻燃电缆,并与操车系统液压管路分开布置. (四)操车系统机坑及井口负层空间内应当及时清理漏油,每 天检查清理情况,不得留存杂物和易燃物.","[1] 矿调度室 -> PERFORMED_BY -> 通知救援力量（第二百七十七条；证据：矿调度室在接到井下火灾报告后,应当立即按照灾害预防和处理计划通知有关人员组织抢救灾区人员和实施灭火工作）
[2] 矿井火灾 -> APPLIES_TO -> 控制烟雾蔓延（第七百六十九条；证据：控制烟雾的蔓延,防止火灾扩大）
[3] 上、下山火灾 -> IF -> 防止巷道垮塌（第七百六十九条；证据：防止巷道垮塌造成风流受阻）
[4] 设备故障引发火灾 -> HAS_RISK -> 加强巷道维护（第二百五十三条；条件：巷道变形；证据：防止带式输送机设备因巷道变形、托辊等部件故障引发火灾）
[5] 上、下山火灾 -> HAS_RISK -> 巷道垮塌（第七百六十九条；证据：巷道垮塌造成风流受阻）",0.75,0.6316,0.1376,0.6356,0.5455,0.75
Q03,掘进面连续出现挂红、挂汗和底鼓现象，是否属于突水前兆，应如何处置？,按突水前兆处置，立即停工撤人，报告调度，设警戒，做好排水。,"['水害', '突水前兆', '停止作业', '撤离人员', '上报调度', '设置警戒', '排水']",pure_llm,纯LLM,"风险判断：属于突水前兆，存在突水风险。  
依据：挂红、挂汗和底鼓是地下水活动增强的典型征兆，表明围岩含水压力增大。  
处置动作：立即停止掘进作业，撤出人员，加强水文观测，启动探放水措施。  
责任分工：由矿井防治水部门牵头组织应急处置，掘进队配合撤人，调度室协调指挥。",7.721,,,0.5714,0.5714,0.2051,0.6647,0.5714,0.5714
Q03,掘进面连续出现挂红、挂汗和底鼓现象，是否属于突水前兆，应如何处置？,按突水前兆处置，立即停工撤人，报告调度，设警戒，做好排水。,"['水害', '突水前兆', '停止作业', '撤离人员', '上报调度', '设置警戒', '排水']",vector_rag,纯向量RAG,"风险判断：掘进面出现挂红、挂汗和底鼓现象属于突水前兆，存在透水事故风险。  
依据：根据《煤矿安全规程》第二百九十二条，挂红、挂汗、底板鼓起等均为透水征兆。  
处置动作：立即停止作业，撤出受威胁区域人员，报告矿调度室并发出警报，查明原因前严禁采掘。  
责任分工：现场带班人员负责指挥撤人，调度室组织应急处置，技术部门负责隐患排查与治理。",2.322,"[1] 来源：煤矿安全规程2025.pdf；片段：第二百九十二条-290；得分：0.8178
第二百九十二条 采掘工作面或者其他地点发现有煤层变 湿、挂红、挂汗、空气变冷、出现雾气、水叫、顶板来压、片帮、淋水加 大、底板鼓起或者裂隙渗水、钻孔喷水、煤壁溃水、水色发浑、有臭 味等透水征兆时,应当立即停止作业,撤出所有受水患威胁地点的 人员,报告矿调度室,并发出警报.在原因未查清、隐患未排除之 前,不得进行任何采掘活动. 第二节 地面防治水

[2] 来源：煤矿安全规程2025.pdf；片段：第六百五十条-641；得分：0.7115
第六百五十条 地层含水影响采矿工程正常进行时,应当进 行疏干,疏干工程应当超前于采矿工程. 因疏干地层含水地面出现裂缝、塌陷时,应当圈定范围加以防 护、设置警示标志,并采取安全措施;(半)地下疏干泵房应当设通 风装置.

[3] 来源：煤矿安全规程2025.pdf；片段：第七百零六条-696；得分：0.7093
第七百零六条 井工煤矿掘进井巷和硐室时,必须采取湿式 ２ — ７ — ２ 钻眼、冲洗井壁巷帮、水炮泥、爆破喷雾、装岩(煤)洒水和净化风流 等综合防尘措施.

[4] 来源：煤矿安全规程2025.pdf；片段：第七百零八条-698；得分：0.7089
第七百零八条 井工煤矿在煤、岩层中钻孔作业时,应当采取 湿式降尘等措施. 在冻结 法 凿 井 和 在 遇 水 膨 胀 的 岩 层 中 不 能 采 用 湿 式 钻 眼 (孔)、突出煤层或者松软煤层中施工瓦斯抽采钻孔难以采取湿式 钻孔作业时,可以采取干式钻孔(眼),并采取除尘器除尘等措施.",,0.7143,0.6667,0.2105,0.612,0.625,0.7143
Q03,掘进面连续出现挂红、挂汗和底鼓现象，是否属于突水前兆，应如何处置？,按突水前兆处置，立即停工撤人，报告调度，设警戒，做好排水。,"['水害', '突水前兆', '停止作业', '撤离人员', '上报调度', '设置警戒', '排水']",hybrid_graph,混合图检索策略,"风险判断：掘进面挂红、挂汗和底鼓属于突水前兆，存在透水风险。  
依据：规程第二百九十二条明确将挂红、挂汗、底板鼓起列为透水征兆，知识图谱显示透水征兆可触发水害。  
处置动作：立即停止作业，撤出受威胁人员，报告调度室并发出警报，查明原因前不得恢复作业。  
责任分工：现场带班人员负责撤人警戒，矿调度室组织应急处置，地测部门负责水情分析。",1.828,"[1] 来源：煤矿安全规程2025.pdf；片段：第二百九十二条-290；得分：0.8178
第二百九十二条 采掘工作面或者其他地点发现有煤层变 湿、挂红、挂汗、空气变冷、出现雾气、水叫、顶板来压、片帮、淋水加 大、底板鼓起或者裂隙渗水、钻孔喷水、煤壁溃水、水色发浑、有臭 味等透水征兆时,应当立即停止作业,撤出所有受水患威胁地点的 人员,报告矿调度室,并发出警报.在原因未查清、隐患未排除之 前,不得进行任何采掘活动. 第二节 地面防治水

[2] 来源：煤矿安全规程2025.pdf；片段：第六百五十条-641；得分：0.7115
第六百五十条 地层含水影响采矿工程正常进行时,应当进 行疏干,疏干工程应当超前于采矿工程. 因疏干地层含水地面出现裂缝、塌陷时,应当圈定范围加以防 护、设置警示标志,并采取安全措施;(半)地下疏干泵房应当设通 风装置.

[3] 来源：煤矿安全规程2025.pdf；片段：第七百零六条-696；得分：0.7093
第七百零六条 井工煤矿掘进井巷和硐室时,必须采取湿式 ２ — ７ — ２ 钻眼、冲洗井壁巷帮、水炮泥、爆破喷雾、装岩(煤)洒水和净化风流 等综合防尘措施.

[4] 来源：煤矿安全规程2025.pdf；片段：第七百零八条-698；得分：0.7089
第七百零八条 井工煤矿在煤、岩层中钻孔作业时,应当采取 湿式降尘等措施. 在冻结 法 凿 井 和 在 遇 水 膨 胀 的 岩 层 中 不 能 采 用 湿 式 钻 眼 (孔)、突出煤层或者松软煤层中施工瓦斯抽采钻孔难以采取湿式 钻孔作业时,可以采取干式钻孔(眼),并采取除尘器除尘等措施.","[1] 透水征兆 -> IF -> 水害（第二百九十二条；证据：采掘工作面或者其他地点发现有煤层变湿、挂红、挂汗、空气变冷、出现雾气、水叫、顶板来压、片帮、淋水加大、底板鼓起或者裂隙渗水、钻孔喷水、煤壁溃水、水色发浑、有臭味等透水征兆时）
[2] 进行地下水动态观测分析 -> HAS_RISK -> 滞后突水（第三百一十四条；条件：未进行综合观测分析；证据：防止滞后突水）
[3] 突水风险 -> APPLIES_TO -> 编制探放水设计（第三百一十四条；条件：井巷揭穿含水层或地质构造带；证据：井巷揭穿含水层或者地质构造带等可能突水地段前,必须编制探放水设计）
[4] 突水风险 -> HAS_RISK -> 顶钻（第三百二十六条；证据：发现...顶钻等突(透)水征兆）
[5] 突水风险 -> HAS_RISK -> 来压（第三百二十六条；证据：发现...来压...等突(透)水征兆）",0.8571,0.8,0.2316,0.7345,0.75,0.8571
Q04,井下2名作业人员失联且对讲机无响应，搜救行动应如何分组并保证救援队安全？,立即核对人数并上报调度，分组搜救，保持通信，设警戒并安排安全监护。,"['人员失联', '核对人数', '上报调度', '组织救援', '保持通信', '设置警戒', '安全员']",pure_llm,纯LLM,"风险判断：失联区域可能存在瓦斯积聚、冒顶或有害气体超标等高风险。  
依据：井下环境复杂，失联人员可能被困于通风不良或结构不稳定区域。  
处置动作：立即启动应急预案，组建3人以上搜救小组，每组配备便携式气体检测仪、自救器、照明及通讯设备，沿预设安全路线分区域搜索。  
责任分工：救援队长统一指挥，安全员实时监测气体与顶板状况，搜救组执行搜索并定时汇报，后勤组保障物资与外部联络，确保救援全程受控。",1.883,,,0.4286,0.4,0.1339,0.6575,0.375,0.4286
